v(1	1	32	157	64	2)
v(1	2	22	178	44	2)
v(1	3	5	60	10	2)
v(2	1	1	110	2	1)
v(2	2	1	80	2	1)
v(3	1	24	49	48	2)
v(3	2	20	157	40	3)
v(3	3	31	128	62	3)
v(3	4	13	126	26	2)
v(4	1	23	82	46	1)
v(4	2	8	12	16	1)
v(5	1	9	27	18	0)
v(6	1	8	151	16	0)
v(7	1	8	33	16	0)
v(8	1	26	170	52	4)
v(8	2	14	18	28	4)
v(8	3	4	98	8	4)
v(8	4	7	19	14	4)
v(8	5	1	133	2	4)
v(9	1	28	149	56	3)
v(9	2	20	97	40	3)
v(9	3	6	83	12	3)
v(9	4	17	167	34	4)
v(9	5	19	175	38	3)
v(10	1	9	95	18	3)
v(10	2	9	150	18	3)
v(10	3	12	164	24	3)
v(10	4	18	149	36	3)
v(11	1	29	137	58	4)
v(11	2	29	92	58	4)
v(11	3	18	104	36	4)
v(11	4	30	184	60	3)
v(11	5	10	34	20	3)
v(12	1	25	51	50	0)
v(13	1	3	101	6	1)
v(13	2	20	171	40	1)
v(14	1	29	36	58	4)
v(14	2	4	136	8	3)
v(14	3	20	164	40	3)
v(14	4	21	179	42	4)
v(14	5	22	119	44	4)
v(15	1	29	157	58	3)
v(15	2	31	70	62	3)
v(15	3	2	46	4	3)
v(15	4	8	67	16	3)
v(16	1	4	71	8	0)
v(17	1	21	57	42	1)
v(17	2	31	179	62	2)
v(17	3	8	18	16	2)
v(17	4	30	94	60	1)
v(18	1	6	159	12	1)
v(18	2	3	40	6	1)
v(19	1	11	162	22	4)
v(19	2	23	74	46	4)
v(19	3	6	134	12	4)
v(19	4	22	141	44	4)
v(19	5	9	45	18	4)
v(20	1	20	46	40	4)
v(20	2	8	134	16	4)
v(20	3	3	143	6	4)
v(20	4	27	75	54	4)
v(20	5	11	102	22	4)
v(21	1	21	161	42	0)
v(22	1	10	149	20	2)
v(22	2	15	145	30	2)
v(22	3	19	64	38	3)
v(22	4	15	56	30	3)
v(23	1	3	74	6	1)
v(23	2	25	65	50	1)
v(24	1	25	140	50	4)
v(24	2	8	148	16	4)
v(24	3	8	79	16	3)
v(24	4	29	178	58	3)
v(24	5	26	125	52	4)
v(25	1	11	32	22	3)
v(25	2	21	164	42	3)
v(25	3	9	138	18	3)
v(25	4	5	48	10	3)
v(26	1	31	53	62	0)
v(27	1	1	13	2	2)
v(27	2	26	185	52	2)
v(27	3	6	23	12	2)
v(28	1	17	85	34	2)
v(28	2	14	158	28	2)
v(28	3	20	116	40	2)
v(29	1	15	135	30	3)
v(29	2	2	124	4	3)
v(29	3	7	162	14	3)
v(29	4	14	170	28	3)
v(30	1	25	81	50	4)
v(30	2	32	171	64	4)
v(30	3	4	18	8	4)
v(30	4	9	27	18	4)
v(30	5	26	43	52	4)
v(31	1	22	99	44	0)
v(31	2	25	115	50	0)
v(32	1	28	108	56	3)
v(32	2	5	7	10	3)
v(32	3	5	47	10	3)
v(32	4	7	104	14	3)
v(33	1	10	164	20	4)
v(33	2	6	24	12	4)
v(33	3	10	144	20	4)
v(33	4	6	120	12	4)
v(33	5	21	172	42	4)
v(34	1	26	157	52	2)
v(34	2	19	21	38	2)
v(34	3	23	180	46	2)
v(35	1	24	128	48	3)
