10
30
 //v_ID; C; S; P; pC; pS; pP; pn_i; pn_e;
s(1	100	1500	200	0.48	0.18	0.33	1.21	1.84)
s(2	150	5000	100	0.50	0.36	0.33	1.21	2.05)
s(3	300	5000	100	0.58	0.18	0.33	1.21	2.05)
s(4	300	5000	100	0.58	0.09	0.33	1.21	2.05)
s(5	100	5000	150	0.48	0.18	0.33	1.21	2.05)
s(6	200	2000	100	0.58	0.09	0.33	1.21	1.84)
s(7	100	5000	300	0.58	0.09	0.33	1.21	1.84)
s(8	300	5000	100	0.58	0.18	0.33	1.21	2.05)
s(9	300	5000	100	0.58	0.09	0.33	1.21	2.05)
s(10	100	2300	200	0.48	0.18	0.33	1.21	2.05)

l(1	2	1000)
l(2	1	1000)
l(1	4	1500)
l(4	1	1500)
l(2	3	1000)
l(3	2	1000)
l(3	4	1120)
l(4	3	1120)
l(4	5	2100)
l(5	4	2100)
l(4	6	3200)
l(6	4	3200)
l(3	6	4320)
l(6	3	4320)
l(3	9	3650)
l(9	3	3650)
l(3	10	2150)
l(10	3	2150)
l(9	10	1870)
l(10	9	1870)
l(6	9	5730)
l(9	6	5730)
l(5	6	1550)
l(6	5	1550)
l(6	7	3420)
l(7	6	3420)
l(7	8	2270)
l(8	7	2270)
l(8	9	3800)
l(9	8	3800)
