15

d(1	2	15	3	200000.0)
d(2	20	20	3	200000.0)
d(3	9	23	4	200000.0)
d(4	4	14	4	200000.0)
d(5	21	22	3	200000.0)
d(6	15	17	1	200000.0)
d(7	9	11	3	200000.0)
d(8	5	17	3	200000.0)
d(9	9	18	2	200000.0)
d(10	18	22	4	200000.0)
d(11	24	24	4	200000.0)
d(12	18	19	5	200000.0)
d(13	2	3	3	200000.0)
d(14	4	22	3	200000.0)
d(15	11	21	4	200000.0)
v(1	1	29	51	58	2)
v(1	2	31	33	62	2)
v(1	3	27	31	54	2)
v(2	1	16	137	32	2)
v(2	2	16	80	32	2)
v(2	3	14	125	28	2)
v(3	1	9	60	18	3)
v(3	2	2	39	4	3)
v(3	3	24	113	48	3)
v(3	4	12	67	24	3)
v(4	1	4	11	8	3)
v(4	2	29	94	58	3)
v(4	3	21	171	42	3)
v(4	4	28	180	56	3)
v(5	1	7	50	14	2)
v(5	2	7	30	14	2)
v(5	3	4	61	8	2)
v(6	1	27	108	54	0)
v(7	1	31	62	62	2)
v(7	2	23	74	46	2)
v(7	3	13	171	26	2)
v(8	1	18	53	36	2)
v(8	2	21	171	42	2)
v(8	3	28	179	56	2)
v(9	1	29	151	58	1)
v(9	2	7	79	14	1)
v(10	1	30	105	60	3)
v(10	2	25	52	50	3)
v(10	3	2	160	4	3)
v(10	4	3	16	6	3)
v(11	1	30	72	60	3)
v(11	2	27	68	54	3)
v(11	3	1	96	2	3)
v(11	4	31	67	62	3)
v(12	1	3	137	6	4)
v(12	2	23	70	46	4)
v(12	3	16	63	32	4)
v(12	4	27	164	54	4)
v(12	5	11	91	22	4)
v(13	1	12	90	24	1)
v(13	2	5	77	10	1)
v(13	3	6	152	12	2)
v(14	1	1	10	2	2)
v(14	2	5	123	10	2)
v(14	3	22	162	44	2)
v(15	1	2	70	4	3)
v(15	2	4	139	8	2)
v(15	3	1	126	2	3)
v(15	4	22	162	44	2)
e(1	1	2	110)
e(1	1	3	60)
e(1	2	3	120)
e(2	1	2	120)
e(2	1	3	20)
e(2	2	3	20)
e(3	1	2	30)
e(3	1	3	80)
e(3	2	3	80)
e(3	1	4	10)
e(3	2	4	30)
e(3	3	4	110)
e(4	1	2	40)
e(4	1	3	110)
e(4	2	3	10)
e(4	1	4	150)
e(4	2	4	50)
e(4	3	4	120)
e(5	1	2	130)
e(5	1	3	140)
e(5	2	3	110)
e(7	1	2	40)
e(7	1	3	150)
e(7	2	3	150)
e(8	1	2	10)
e(8	1	3	110)
e(8	2	3	120)
e(9	1	2	90)
e(10	1	2	30)
e(10	1	3	10)
e(10	2	3	50)
e(10	1	4	150)
e(10	2	4	140)
e(10	3	4	20)
e(11	1	2	110)
e(11	1	3	60)
e(11	2	3	140)
e(11	1	4	20)
e(11	2	4	30)
e(11	3	4	30)
e(12	1	2	20)
e(12	1	3	120)
e(12	2	3	160)
e(12	1	4	160)
e(12	2	4	80)
e(12	3	4	140)
e(12	1	5	40)
e(12	2	5	20)
e(12	3	5	130)
e(12	4	5	140)
e(13	1	3	140)
e(13	2	3	10)
e(14	1	2	160)
e(14	1	3	110)
e(14	2	3	20)
e(15	1	2	110)
e(15	1	3	90)
e(15	2	3	80)
e(15	1	4	150)
e(15	3	4	150)
