900

d(1	22	23	2	200000.0)
d(2	6	23	2	200000.0)
d(3	23	24	2	200000.0)
d(4	5	6	4	200000.0)
d(5	2	8	2	200000.0)
d(6	13	19	4	200000.0)
d(7	4	4	5	200000.0)
d(8	8	11	2	200000.0)
d(9	2	12	2	200000.0)
d(10	6	11	1	200000.0)
d(11	19	23	3	200000.0)
d(12	11	17	4	200000.0)
d(13	4	20	4	200000.0)
d(14	16	24	5	200000.0)
d(15	14	18	1	200000.0)
d(16	8	16	1	200000.0)
d(17	24	24	4	200000.0)
d(18	24	24	5	200000.0)
d(19	2	2	5	200000.0)
d(20	5	9	3	200000.0)
d(21	8	18	2	200000.0)
d(22	12	17	1	200000.0)
d(23	16	23	3	200000.0)
d(24	22	23	2	200000.0)
d(25	18	18	4	200000.0)
d(26	8	9	3	200000.0)
d(27	14	23	2	200000.0)
d(28	22	23	2	200000.0)
d(29	12	20	3	200000.0)
d(30	14	23	2	200000.0)
d(31	14	18	4	200000.0)
d(32	24	24	3	200000.0)
d(33	17	20	2	200000.0)
d(34	23	23	2	200000.0)
d(35	10	21	3	200000.0)
d(36	3	4	1	200000.0)
d(37	15	23	2	200000.0)
d(38	23	24	4	200000.0)
d(39	1	22	5	200000.0)
d(40	21	22	2	200000.0)
d(41	12	15	5	200000.0)
d(42	8	9	2	200000.0)
d(43	23	23	3	200000.0)
d(44	11	21	2	200000.0)
d(45	2	9	3	200000.0)
d(46	13	24	5	200000.0)
d(47	23	23	2	200000.0)
d(48	10	13	2	200000.0)
d(49	10	12	2	200000.0)
d(50	4	15	4	200000.0)
d(51	16	23	4	200000.0)
d(52	8	19	2	200000.0)
d(53	3	21	5	200000.0)
d(54	8	16	1	200000.0)
d(55	13	21	1	200000.0)
d(56	11	12	3	200000.0)
d(57	18	24	2	200000.0)
d(58	14	21	1	200000.0)
d(59	20	21	2	200000.0)
d(60	16	16	3	200000.0)
d(61	16	24	5	200000.0)
d(62	13	15	2	200000.0)
d(63	1	4	1	200000.0)
d(64	16	20	3	200000.0)
d(65	7	21	5	200000.0)
d(66	20	22	4	200000.0)
d(67	1	8	3	200000.0)
d(68	20	20	5	200000.0)
d(69	11	13	3	200000.0)
d(70	11	23	1	200000.0)
d(71	11	17	3	200000.0)
d(72	22	24	2	200000.0)
d(73	21	24	4	200000.0)
d(74	1	19	4	200000.0)
d(75	8	16	3	200000.0)
d(76	5	15	5	200000.0)
d(77	2	10	3	200000.0)
d(78	11	22	4	200000.0)
d(79	21	21	3	200000.0)
d(80	16	22	1	200000.0)
d(81	9	23	3	200000.0)
d(82	17	20	1	200000.0)
d(83	10	11	1	200000.0)
d(84	15	23	5	200000.0)
d(85	11	21	4	200000.0)
d(86	24	24	2	200000.0)
d(87	14	22	2	200000.0)
d(88	20	24	3	200000.0)
d(89	19	20	3	200000.0)
d(90	14	24	3	200000.0)
d(91	13	17	2	200000.0)
d(92	6	21	2	200000.0)
d(93	8	13	5	200000.0)
d(94	17	19	2	200000.0)
