14
s(0	5000	50000	10000	0.0018	0.00045	0.00065	9	100.2)
s(1	5000	50000	10000	0.0018	0.00045	0.00065	9	100.2)
s(2	5000	50000	10000	0.0018	0.00045	0.00065	9	100.2)
s(3	5000	50000	10000	0.0013	0.00042	0.00058	9	100.2)
s(4	5000	50000	10000	0.0013	0.00042	0.00058	9	100.2)
s(5	5000	50000	10000	0.0013	0.00042	0.00058	9	121.6)
s(6	5000	50000	10000	0.0013	0.00042	0.00058	9	60.8)
s(7	5000	50000	10000	0.0013	0.00042	0.00058	9	100.2)
s(8	5000	50000	10000	0.0020	0.00048	0.00061	9	121.6)
s(9	5000	50000	10000	0.0013	0.00042	0.00058	9	60.8)
s(10	5000	50000	10000	0.0013	0.00042	0.00058	9	100.2)
s(11	5000	50000	10000	0.0020	0.00048	0.00061	9	100.2)
s(12	5000	50000	10000	0.0020	0.00048	0.00061	9	100.2)
s(13	5000	50000	10000	0.0020	0.00048	0.00061	9	100.2)
l(0	1	1100)
l(1	0	1100)
l(0	2	1600)
l(2	0	1600)
l(0	7	2800)
l(7	0	2800)
l(1	3	1000)
l(3	1	1000)
l(1	2	600)
l(2	1	600)
l(2	5	2000)
l(5	2	2000)
l(3	4	600)
l(4	3	600)
l(3	10	2400)
l(10	3	2400)
l(4	6	800)
l(6	4	800)
l(4	5	1100)
l(5	4	1100)
l(5	9	1200)
l(9	5	1200)
l(5	12	2000)
l(12	5	2000)
l(6	7	700)
l(7	6	700)
l(7	8	700)
l(8	7	700)
l(8	9	900)
l(9	8	900)
l(8	11	500)
l(11	8	500)
l(8	13	500)
l(13	8	500)
l(10	11	800)
l(11	10	800)
l(10	13	800)
l(13	10	800)
l(11	12	300)
l(12	11	300)
l(12	13	300)
l(13	12	300)
